"filename", "language", "Markdown", "Go Checksum File", "Go", "Protocol Buffers", "Go Module File", "JSON", "comment", "blank", "total"
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/sign.pb.go", "Go", 0, 0, 296, 0, 0, 0, 15, 44, 355
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/sign.proto", "Protocol Buffers", 0, 0, 0, 29, 0, 0, 0, 5, 34
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/utils.go", "Go", 0, 0, 91, 0, 0, 0, 7, 26, 124
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/signing/local_party.go", "Go", 0, 0, 140, 0, 0, 0, 9, 26, 175
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/signing/local_party_test.go", "Go", 0, 0, 202, 0, 0, 0, 15, 46, 263
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/signing/round_1.go", "Go", 0, 0, 114, 0, 0, 0, 6, 24, 144
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/signing/round_final.go", "Go", 0, 0, 65, 0, 0, 0, 3, 18, 86
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/signing/rounds.go", "Go", 0, 0, 87, 0, 0, 0, 6, 15, 108
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/signing/utils.go", "Go", 0, 0, 58, 0, 0, 0, 7, 18, 83
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/keygen.pb.go", "Go", 0, 0, 297, 0, 0, 0, 13, 42, 352
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/keygen.proto", "Protocol Buffers", 0, 0, 0, 30, 0, 0, 0, 5, 35
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/local_party.go", "Go", 0, 0, 119, 0, 0, 0, 15, 30, 164
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/local_party_test.go", "Go", 0, 0, 239, 0, 0, 0, 17, 44, 300
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/messages.go", "Go", 0, 0, 112, 0, 0, 0, 6, 18, 136
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/round_1.go", "Go", 0, 0, 86, 0, 0, 0, 3, 17, 106
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/round_2.go", "Go", 0, 0, 59, 0, 0, 0, 0, 11, 70
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/round_3.go", "Go", 0, 0, 105, 0, 0, 0, 4, 20, 129
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/round_final.go", "Go", 0, 0, 71, 0, 0, 0, 3, 18, 92
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/rounds.go", "Go", 0, 0, 78, 0, 0, 0, 5, 13, 96
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/non_threshold/test_utils.go", "Go", 0, 0, 103, 0, 0, 0, 2, 9, 114
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/save_data.go", "Go", 0, 0, 67, 0, 0, 0, 6, 12, 85
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/threshold/local_party.go", "Go", 0, 0, 133, 0, 0, 0, 13, 30, 176
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/threshold/local_party_test.go", "Go", 0, 0, 274, 0, 0, 0, 24, 52, 350
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/threshold/messages.go", "Go", 0, 0, 121, 0, 0, 0, 7, 22, 150
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/threshold/round_1.go", "Go", 0, 0, 109, 0, 0, 0, 9, 20, 138
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/threshold/round_2.go", "Go", 0, 0, 80, 0, 0, 0, 3, 12, 95
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/keygen/threshold/round_3.go", "Go", 0, 0, 176, 0, 0, 0, 9, 27, 212
